occupation_code	occupation_text	display_level	selectable	sort_sequence
231012	Judicial law clerks	3	T	237
231021	Administrative law judges, adjudicators, and hearing officers	3	T	239
231023	Judges, magistrate judges, and magistrates	3	T	241
232011	Paralegals and legal assistants	3	T	243
232093	Title examiners, abstractors, and searchers	3	T	245
232099	Legal support workers, all other	3	T	246
250000	Educational instruction and library occupations	0	T	247
251194	Career/technical education teachers, postsecondary	3	T	294
252011	Preschool teachers, except special education	3	T	298
253011	Adult basic education, adult secondary education, and english as a second language instructors	3	T	314
253021	Self-enrichment teachers	3	T	315
254011	Archivists	3	T	320
254012	Curators	3	T	321
254013	Museum technicians and conservators	3	T	322
254022	Librarians and media collections specialists	3	T	323
254031	Library technicians	3	T	324
259021	Farm and home management educators	3	T	326
259031	Instructional coordinators	3	T	327
259099	Educational instruction and library workers, all other	3	T	331
270000	Arts, design, entertainment, sports, and media occupations	0	T	332
271011	Art directors	3	T	335
271014	Special effects artists and animators	3	T	338
271021	Commercial and industrial designers	3	T	341
271022	Fashion designers	3	T	342
271023	Floral designers	3	T	343
271024	Graphic designers	3	T	344
271025	Interior designers	3	T	345
271026	Merchandise displayers and window trimmers	3	T	346
272011	Actors	3	T	351
272012	Producers and directors	3	T	352
272031	Dancers	3	T	358
272041	Music directors and composers	3	T	361
272042	Musicians and singers	3	T	362
272090	Miscellaneous entertainers and performers, sports and related workers	2	T	363
273011	Broadcast announcers and radio disc jockeys	3	T	365
273023	News analysts, reporters, and journalists	3	T	366
273031	Public relations specialists	3	T	367
273041	Editors	3	T	369
273042	Technical writers	3	T	370
273043	Writers and authors	3	T	371
273091	Interpreters and translators	3	T	373
273099	Media and communication workers, all other	3	T	375
274011	Audio and video technicians	3	T	377
274012	Broadcast technicians	3	T	378
274021	Photographers	3	T	380
274031	Camera operators, television, video, and film	3	T	382
274032	Film and video editors	3	T	383
274098	Lighting technicians and media and communication equipment workers, all other	3	T	384
290000	Healthcare practitioners and technical occupations	0	T	385
291021	Dentists, general	3	T	389
291031	Dietitians and nutritionists	3	T	394
291041	Optometrists	3	T	395
291051	Pharmacists	3	T	396
291071	Physician assistants	3	T	397
291122	Occupational therapists	3	T	400
291123	Physical therapists	3	T	401
291124	Radiation therapists	3	T	402
291125	Recreational therapists	3	T	403
291126	Respiratory therapists	3	T	404
291127	Speech-language pathologists	3	T	405
291128	Exercise physiologists	3	T	406
291129	Therapists, all other	3	T	407
291131	Veterinarians	3	T	408
291141	Registered nurses	3	T	409
291151	Nurse anesthetists	3	T	410
291171	Nurse practitioners	3	T	412
291181	Audiologists	3	T	413
291215	Family medicine physicians	3	T	415
291216	General internal medicine physicians	3	T	416
291221	Pediatricians, general	3	T	418
291223	Psychiatrists	3	T	419
291228	Physicians, all other; and ophthalmologists, except pediatric	3	T	420
291248	Surgeons, except ophthalmologists	3	T	421
291292	Dental hygienists	3	T	423
292010	Clinical laboratory technologists and technicians	2	T	426
292031	Cardiovascular technologists and technicians	3	T	427
292032	Diagnostic medical sonographers	3	T	428
292033	Nuclear medicine technologists	3	T	429
292034	Radiologic technologists and technicians	3	T	430
292035	Magnetic resonance imaging technologists	3	T	431
292040	Emergency medical technicians and paramedics	2	T	432
292051	Dietetic technicians	3	T	434
292052	Pharmacy technicians	3	T	435
292053	Psychiatric technicians	3	T	436
292055	Surgical technologists	3	T	437
292056	Veterinary technologists and technicians	3	T	438
292057	Ophthalmic medical technicians	3	T	439
292061	Licensed practical and licensed vocational nurses	3	T	440
292081	Opticians, dispensing	3	T	441
292091	Orthotists and prosthetists	3	T	443
292092	Hearing aid specialists	3	T	444
292098	Medical dosimetrists and records specialists, and health technologists and technicians, all other	3	T	445
299098	Healthcare technologists and practitioners, medical registrars, and surgical assistants, all other	3	T	449
310000	Healthcare support occupations	0	T	450
311120	Home health and personal care aides	2	T	452
311131	Nursing assistants	3	T	454
311132	Orderlies	3	T	455
311133	Psychiatric aides	3	T	456
312011	Occupational therapy assistants	3	T	459
312012	Occupational therapy aides	3	T	460
312021	Physical therapist assistants	3	T	462
312022	Physical therapist aides	3	T	463
319011	Massage therapists	3	T	465
319091	Dental assistants	3	T	467
319092	Medical assistants	3	T	468
319093	Medical equipment preparers	3	T	469
319094	Medical transcriptionists	3	T	470
319095	Pharmacy aides	3	T	471
319096	Veterinary assistants and laboratory animal caretakers	3	T	472
319097	Phlebotomists	3	T	473
319099	Healthcare support workers, all other	3	T	474
330000	Protective service occupations	0	T	475
331011	First-line supervisors of correctional officers	3	T	478
331012	First-line supervisors of police and detectives	3	T	479
331021	First-line supervisors of firefighting and prevention workers	3	T	480
331090	Miscellaneous first-line supervisors, protective service workers	2	T	481
332011	Firefighters	3	T	483
332021	Fire inspectors and investigators	3	T	485
333012	Correctional officers and jailers	3	T	490
333021	Detectives and criminal investigators	3	T	491
333041	Parking enforcement workers	3	T	493
333051	Police and sheriff's patrol officers	3	T	495
339011	Animal control workers	3	T	498
339021	Private detectives and investigators	3	T	499
339031	Gaming surveillance officers and gambling investigators	3	T	501
339032	Security guards	3	T	502
339091	Crossing guards and flaggers	3	T	504
339092	Lifeguards, ski patrol, and other recreational protective service workers	3	T	505
339098	School bus monitors and protective service workers, all other	3	T	507
350000	Food preparation and serving related occupations	0	T	508
351011	Chefs and head cooks	3	T	510
351012	First-line supervisors of food preparation and serving workers	3	T	511
352011	Cooks, fast food	3	T	514
352012	Cooks, institution and cafeteria	3	T	515
352014	Cooks, restaurant	3	T	517
352015	Cooks, short order	3	T	518
352019	Cooks, all other	3	T	519
352021	Food preparation workers	3	T	520
353011	Bartenders	3	T	522
353023	Fast food and counter workers	3	T	523
353031	Waiters and waitresses	3	T	524
353041	Food servers, nonrestaurant	3	T	525
359011	Dining room and cafeteria attendants and bartender helpers	3	T	527
359021	Dishwashers	3	T	528
359031	Hosts and hostesses, restaurant, lounge, and coffee shop	3	T	529
359099	Food preparation and serving related workers, all other	3	T	530
370000	Building and grounds cleaning and maintenance occupations	0	T	531
371011	First-line supervisors of housekeeping and janitorial workers	3	T	533
371012	First-line supervisors of landscaping, lawn service, and groundskeeping workers	3	T	534
372011	Janitors and cleaners, except maids and housekeeping cleaners	3	T	537
372012	Maids and housekeeping cleaners	3	T	538
372019	Building cleaning workers, all other	3	T	539
372021	Pest control workers	3	T	540
373011	Landscaping and groundskeeping workers	3	T	542
373012	Pesticide handlers, sprayers, and applicators, vegetation	3	T	543
373013	Tree trimmers and pruners	3	T	544
373019	Grounds maintenance workers, all other	3	T	545
390000	Personal care and service occupations	0	T	546
391013	First-line supervisors of gambling services workers	3	T	548
391098	First-line supervisors of personal service and entertainment workers, except gambling services	3	T	549
392011	Animal trainers	3	T	551
392021	Animal caretakers	3	T	552
393011	Gambling dealers	3	T	555
393012	Gambling and sports book writers and runners	3	T	556
393019	Gambling service workers, all other	3	T	557
393031	Ushers, lobby attendants, and ticket takers	3	T	559
393091	Amusement and recreation attendants	3	T	561
393093	Locker room, coatroom, and dressing room attendants	3	T	563
393099	Entertainment attendants and related workers, all other	3	T	564
394021	Funeral attendants	3	T	567
394031	Morticians, undertakers, and funeral arrangers	3	T	568
395012	Hairdressers, hairstylists, and cosmetologists	3	T	572
395092	Manicurists and pedicurists	3	T	575
395094	Skincare specialists	3	T	577
