area_code	area_text	display_level	selectable	sort_sequence
0000000	National	0	T	1
0010180	Abilene, TX	1	T	576
0010420	Akron, OH	1	T	470
0010500	Albany, GA	1	T	147
0010540	Albany, OR	1	T	496
0010580	Albany-Schenectady-Troy, NY	1	T	418
0010740	Albuquerque, NM	1	T	407
0010780	Alexandria, LA	1	T	254
0010900	Allentown-Bethlehem-Easton, PA-NJ	1	T	512
0011020	Altoona, PA	1	T	513
0011100	Amarillo, TX	1	T	577
0011180	Ames, IA	1	T	221
0011260	Anchorage, AK	1	T	20
0011460	Ann Arbor, MI	1	T	309
0011500	Anniston-Oxford-Jacksonville, AL	1	T	3
0011540	Appleton, WI	1	T	671
0011700	Asheville, NC	1	T	440
0012020	Athens-Clarke County, GA	1	T	148
0012060	Atlanta-Sandy Springs-Roswell, GA	1	T	149
0012100	Atlantic City-Hammonton, NJ	1	T	399
0012220	Auburn-Opelika, AL	1	T	4
0012260	Augusta-Richmond County, GA-SC	1	T	150
0012420	Austin-Round Rock, TX	1	T	578
0012540	Bakersfield, CA	1	T	48
0012580	Baltimore-Columbia-Towson, MD	1	T	275
0012940	Baton Rouge, LA	1	T	255
0012980	Battle Creek, MI	1	T	310
0013020	Bay City, MI	1	T	311
0013140	Beaumont-Port Arthur, TX	1	T	579
0013220	Beckley, WV	1	T	661
0013380	Bellingham, WA	1	T	641
0013460	Bend-Redmond, OR	1	T	497
0013740	Billings, MT	1	T	364
0013780	Binghamton, NY	1	T	419
0013820	Birmingham-Hoover, AL	1	T	5
0013900	Bismarck, ND	1	T	460
0013980	Blacksburg-Christiansburg-Radford, VA	1	T	626
0014010	Bloomington, IL	1	T	183
0014020	Bloomington, IN	1	T	203
0014100	Bloomsburg-Berwick, PA	1	T	514
0014260	Boise City, ID	1	T	171
0014500	Boulder, CO	1	T	88
0014540	Bowling Green, KY	1	T	244
0014740	Bremerton-Silverdale, WA	1	T	642
0015180	Brownsville-Harlingen, TX	1	T	580
0015260	Brunswick, GA	1	T	151
0015380	Buffalo-Cheektowaga-Niagara Falls, NY	1	T	420
0015500	Burlington, NC	1	T	441
0015680	California-Lexington Park, MD	1	T	277
0015940	Canton-Massillon, OH	1	T	471
0015980	Cape Coral-Fort Myers, FL	1	T	116
0016020	Cape Girardeau, MO-IL	1	T	351
0016060	Carbondale-Marion, IL	1	T	185
0016180	Carson City, NV	1	T	382
0016220	Casper, WY	1	T	689
0016300	Cedar Rapids, IA	1	T	222
0016540	Chambersburg-Waynesboro, PA	1	T	515
0016580	Champaign-Urbana, IL	1	T	186
0016620	Charleston, WV	1	T	662
0016700	Charleston-North Charleston, SC	1	T	541
0016740	Charlotte-Concord-Gastonia, NC-SC	1	T	442
0016820	Charlottesville, VA	1	T	627
0016860	Chattanooga, TN-GA	1	T	561
0016940	Cheyenne, WY	1	T	690
0016980	Chicago-Naperville-Elgin, IL-IN-WI	1	T	188
0017020	Chico, CA	1	T	49
0017140	Cincinnati, OH-KY-IN	1	T	472
0017300	Clarksville, TN-KY	1	T	562
0017420	Cleveland, TN	1	T	563
0017460	Cleveland-Elyria, OH	1	T	473
0017660	Coeur d'Alene, ID	1	T	172
0017780	College Station-Bryan, TX	1	T	581
0017820	Colorado Springs, CO	1	T	89
0017860	Columbia, MO	1	T	352
0017900	Columbia, SC	1	T	542
0017980	Columbus, GA-AL	1	T	152
0018020	Columbus, IN	1	T	204
0018140	Columbus, OH	1	T	474
0018580	Corpus Christi, TX	1	T	582
0018700	Corvallis, OR	1	T	498
0018880	Crestview-Fort Walton Beach-Destin, FL	1	T	117
0019060	Cumberland, MD-WV	1	T	278
0019100	Dallas-Fort Worth-Arlington, TX	1	T	584
0019140	Dalton, GA	1	T	153
0019180	Danville, IL	1	T	189
0019300	Daphne-Fairhope-Foley, AL	1	T	6
0019340	Davenport-Moline-Rock Island, IA-IL	1	T	223
0019380	Dayton, OH	1	T	475
0019460	Decatur, AL	1	T	7
0019500	Decatur, IL	1	T	190
0019660	Deltona-Daytona Beach-Ormond Beach, FL	1	T	118
0019740	Denver-Aurora-Lakewood, CO	1	T	90
0019780	Des Moines-West Des Moines, IA	1	T	224
0019820	Detroit-Warren-Dearborn, MI	1	T	313
0020020	Dothan, AL	1	T	8
0020100	Dover, DE	1	T	109
0020220	Dubuque, IA	1	T	225
0020260	Duluth, MN-WI	1	T	332
0020500	Durham-Chapel Hill, NC	1	T	443
0020700	East Stroudsburg, PA	1	T	516
0020740	Eau Claire, WI	1	T	672
0020940	El Centro, CA	1	T	50
0021060	Elizabethtown-Fort Knox, KY	1	T	245
0021140	Elkhart-Goshen, IN	1	T	205
0021300	Elmira, NY	1	T	422
0021340	El Paso, TX	1	T	585
0021420	Enid, OK	1	T	487
0021500	Erie, PA	1	T	517
0021660	Eugene, OR	1	T	499
0021780	Evansville, IN-KY	1	T	206
0021820	Fairbanks, AK	1	T	21
0022020	Fargo, ND-MN	1	T	461
0022140	Farmington, NM	1	T	408
0022180	Fayetteville, NC	1	T	444
0022220	Fayetteville-Springdale-Rogers, AR-MO	1	T	36
0022380	Flagstaff, AZ	1	T	26
0022420	Flint, MI	1	T	314
0022500	Florence, SC	1	T	543
0022520	Florence-Muscle Shoals, AL	1	T	9
0022540	Fond du Lac, WI	1	T	673
0022660	Fort Collins, CO	1	T	91
0022900	Fort Smith, AR-OK	1	T	37
0023060	Fort Wayne, IN	1	T	207
0023420	Fresno, CA	1	T	51
0023460	Gadsden, AL	1	T	10
0023540	Gainesville, FL	1	T	120
0023580	Gainesville, GA	1	T	154
0023900	Gettysburg, PA	1	T	518
0024020	Glens Falls, NY	1	T	423
0024140	Goldsboro, NC	1	T	445
0024220	Grand Forks, ND-MN	1	T	462
0024260	Grand Island, NE	1	T	373
0024300	Grand Junction, CO	1	T	92
0024340	Grand Rapids-Wyoming, MI	1	T	315
0024420	Grants Pass, OR	1	T	500
0024500	Great Falls, MT	1	T	365
0024540	Greeley, CO	1	T	93
0024580	Green Bay, WI	1	T	674
0024660	Greensboro-High Point, NC	1	T	446
0024780	Greenville, NC	1	T	447
0024860	Greenville-Anderson-Mauldin, SC	1	T	544
0025060	Gulfport-Biloxi-Pascagoula, MS	1	T	342
0025180	Hagerstown-Martinsburg, MD-WV	1	T	279
0025220	Hammond, LA	1	T	256
0025260	Hanford-Corcoran, CA	1	T	52
0025420	Harrisburg-Carlisle, PA	1	T	519
0025500	Harrisonburg, VA	1	T	629
0025620	Hattiesburg, MS	1	T	343
0025860	Hickory-Lenoir-Morganton, NC	1	T	448
0025940	Hilton Head Island-Bluffton-Beaufort, SC	1	T	545
0025980	Hinesville, GA	1	T	155
0026140	Homosassa Springs, FL	1	T	121
0026300	Hot Springs, AR	1	T	38
0026380	Houma-Thibodaux, LA	1	T	257
0026420	Houston-The Woodlands-Sugar Land, TX	1	T	587
0026580	Huntington-Ashland, WV-KY-OH	1	T	663
0026620	Huntsville, AL	1	T	11
0026820	Idaho Falls, ID	1	T	173
0026900	Indianapolis-Carmel-Anderson, IN	1	T	209
0026980	Iowa City, IA	1	T	226
0027060	Ithaca, NY	1	T	424
0027100	Jackson, MI	1	T	317
0027140	Jackson, MS	1	T	344
0027180	Jackson, TN	1	T	564
0027260	Jacksonville, FL	1	T	122
0027340	Jacksonville, NC	1	T	449
0027500	Janesville-Beloit, WI	1	T	675
0027620	Jefferson City, MO	1	T	353
0027740	Johnson City, TN	1	T	565
0027780	Johnstown, PA	1	T	520
0027860	Jonesboro, AR	1	T	39
0027900	Joplin, MO	1	T	354
0027980	Kahului-Wailuku-Lahaina, HI	1	T	167
0028020	Kalamazoo-Portage, MI	1	T	318
0028100	Kankakee, IL	1	T	192
0028140	Kansas City, MO-KS	1	T	355
0028420	Kennewick-Richland, WA	1	T	643
0028660	Killeen-Temple, TX	1	T	588
0028700	Kingsport-Bristol-Bristol, TN-VA	1	T	566
0028740	Kingston, NY	1	T	425
0028940	Knoxville, TN	1	T	567
0029020	Kokomo, IN	1	T	210
0029100	La Crosse-Onalaska, WI-MN	1	T	676
0029180	Lafayette, LA	1	T	258
0029200	Lafayette-West Lafayette, IN	1	T	212
0029340	Lake Charles, LA	1	T	259
0029420	Lake Havasu City-Kingman, AZ	1	T	27
0029460	Lakeland-Winter Haven, FL	1	T	123
0029540	Lancaster, PA	1	T	521
0029620	Lansing-East Lansing, MI	1	T	319
0029700	Laredo, TX	1	T	589
