series_id        	year	period	       value	footnote_codes
MPU4900012       	1987	A01	      78.940	
MPU4900012       	1988	A01	      79.589	
MPU4900012       	1989	A01	      79.899	
MPU4900012       	1990	A01	      80.185	
MPU4900012       	1991	A01	      79.822	
MPU4900012       	1992	A01	      82.284	
MPU4900012       	1993	A01	      81.905	
MPU4900012       	1994	A01	      82.270	
MPU4900012       	1995	A01	      82.182	
MPU4900012       	1996	A01	      83.264	
MPU4900012       	1997	A01	      84.226	
MPU4900012       	1998	A01	      85.542	
MPU4900012       	1999	A01	      87.468	
MPU4900012       	2000	A01	      88.876	
MPU4900012       	2001	A01	      89.319	
MPU4900012       	2002	A01	      91.149	
MPU4900012       	2003	A01	      93.407	
MPU4900012       	2004	A01	      95.560	
MPU4900012       	2005	A01	      96.989	
MPU4900012       	2006	A01	      97.420	
MPU4900012       	2007	A01	      97.870	
MPU4900012       	2008	A01	      96.775	
MPU4900012       	2009	A01	      97.078	
MPU4900012       	2010	A01	      99.651	
MPU4900012       	2011	A01	      99.412	
MPU4900012       	2012	A01	     100.000	
MPU4900012       	2013	A01	     100.380	
MPU4900012       	2014	A01	     100.875	
MPU4900012       	2015	A01	     102.017	
MPU4900012       	2016	A01	     101.690	
MPU4900012       	2017	A01	     102.218	
MPU4900012       	2018	A01	     103.235	
MPU4900012       	2019	A01	     103.977	
MPU4900012       	2020	A01	     102.170	
MPU4900013       	1988	A01	         0.8	
MPU4900013       	1989	A01	         0.4	
MPU4900013       	1990	A01	         0.4	
MPU4900013       	1991	A01	        -0.5	
MPU4900013       	1992	A01	         3.1	
MPU4900013       	1993	A01	        -0.5	
MPU4900013       	1994	A01	         0.4	
MPU4900013       	1995	A01	        -0.1	
MPU4900013       	1996	A01	         1.3	
MPU4900013       	1997	A01	         1.2	
MPU4900013       	1998	A01	         1.6	
MPU4900013       	1999	A01	         2.3	
MPU4900013       	2000	A01	         1.6	
MPU4900013       	2001	A01	         0.5	
MPU4900013       	2002	A01	         2.0	
MPU4900013       	2003	A01	         2.5	
MPU4900013       	2004	A01	         2.3	
MPU4900013       	2005	A01	         1.5	
MPU4900013       	2006	A01	         0.4	
MPU4900013       	2007	A01	         0.5	
MPU4900013       	2008	A01	        -1.1	
MPU4900013       	2009	A01	         0.3	
MPU4900013       	2010	A01	         2.7	
MPU4900013       	2011	A01	        -0.2	
MPU4900013       	2012	A01	         0.6	
MPU4900013       	2013	A01	         0.4	
MPU4900013       	2014	A01	         0.5	
MPU4900013       	2015	A01	         1.1	
MPU4900013       	2016	A01	        -0.3	
MPU4900013       	2017	A01	         0.5	
MPU4900013       	2018	A01	         1.0	
MPU4900013       	2019	A01	         0.7	
MPU4900013       	2020	A01	        -1.7	
MPU4900022       	1987	A01	      48.629	
MPU4900022       	1988	A01	      50.719	
MPU4900022       	1989	A01	      52.653	
MPU4900022       	1990	A01	      53.486	
MPU4900022       	1991	A01	      53.204	
MPU4900022       	1992	A01	      55.450	
MPU4900022       	1993	A01	      57.064	
MPU4900022       	1994	A01	      59.816	
MPU4900022       	1995	A01	      61.690	
MPU4900022       	1996	A01	      64.574	
MPU4900022       	1997	A01	      67.949	
MPU4900022       	1998	A01	      71.516	
MPU4900022       	1999	A01	      75.585	
MPU4900022       	2000	A01	      79.248	
MPU4900022       	2001	A01	      79.888	
MPU4900022       	2002	A01	      81.300	
MPU4900022       	2003	A01	      84.003	
MPU4900022       	2004	A01	      87.625	
MPU4900022       	2005	A01	      91.106	
MPU4900022       	2006	A01	      94.251	
MPU4900022       	2007	A01	      96.478	
MPU4900022       	2008	A01	      95.504	
MPU4900022       	2009	A01	      92.192	
MPU4900022       	2010	A01	      95.192	
MPU4900022       	2011	A01	      97.029	
MPU4900022       	2012	A01	     100.000	
MPU4900022       	2013	A01	     102.493	
MPU4900022       	2014	A01	     105.747	
MPU4900022       	2015	A01	     109.808	
MPU4900022       	2016	A01	     111.849	
MPU4900022       	2017	A01	     114.871	
MPU4900022       	2018	A01	     118.902	
MPU4900022       	2019	A01	     121.860	
MPU4900022       	2020	A01	     116.842	
MPU4900023       	1988	A01	         4.3	
MPU4900023       	1989	A01	         3.8	
MPU4900023       	1990	A01	         1.6	
MPU4900023       	1991	A01	        -0.5	
MPU4900023       	1992	A01	         4.2	
MPU4900023       	1993	A01	         2.9	
MPU4900023       	1994	A01	         4.8	
MPU4900023       	1995	A01	         3.1	
MPU4900023       	1996	A01	         4.7	
MPU4900023       	1997	A01	         5.2	
MPU4900023       	1998	A01	         5.2	
MPU4900023       	1999	A01	         5.7	
MPU4900023       	2000	A01	         4.8	
MPU4900023       	2001	A01	         0.8	
MPU4900023       	2002	A01	         1.8	
MPU4900023       	2003	A01	         3.3	
MPU4900023       	2004	A01	         4.3	
