footnote_code	footnote_text
00	Tornqvist (rental price wts.) aggregate K inputs
01	Tornqvist (cost share wts.) aggregate K and L
02	Real Value-Added Output divided by combined inputs
03	Tornqvist aggregate of hours by age, education, & gender
04	Sectoral output per unit of combined K, L, E, M, S
05	Gross output excluding intra-sector transactions
06	Combined K,  L, E, M, S, cost share weights
07	All material inputs excluding fuel & intra-sector transactions
08	Output per hour worked
09	Ratio of Labor Input to Hours
11	Capital services per hour
