MEASURE_CODE_EXPANDED,MEASURE_CODE,DURATION_CODE,MEASURE_TEXT,DURATION_TEXT
01_2_MP,01,2,Multifactor Productivity,Indexes = 100.000
01_3_MP,01,3,Multifactor Productivity,% Change Year Ago
03_2_MP,03,2,Combined Inputs,Indexes = 100.000
03_3_MP,03,3,Combined Inputs,% Change Year Ago
04_2_MP,04,2,Capital Services,Indexes = 100.000
04_3_MP,04,3,Capital Services,% Change Year Ago
05_2_MP,05,2,Labor input,Indexes = 100.000
05_3_MP,05,3,Labor input,% Change Year Ago
06_2_MP,06,2,Labor productivity,Indexes = 100.000
06_3_MP,06,3,Labor productivity,% Change Year Ago
07_2_MP,07,2,Output per unit capital services,Indexes = 100.000
07_3_MP,07,3,Output per unit capital services,% Change Year Ago
08_2_MP,08,2,Capital Intensity,Indexes = 100.000
08_3_MP,08,3,Capital Intensity,% Change Year Ago
15_2_MP,15,2,Contribution of capital intensity,Indexes = 100.000
15_3_MP,15,3,Contribution of capital intensity,% Change Year Ago
16_2_MP,16,2,Contribution of information processing equipment (IPE) intensity,Indexes = 100.000
16_3_MP,16,3,Contribution of information processing equipment (IPE) intensity,% Change Year Ago
17_2_MP,17,2,Contribution of capital services excluding IPP and IPE intensity,Indexes = 100.000
17_3_MP,17,3,Contribution of capital services excluding IPP and IPE intensity,% Change Year Ago
18_2_MP,18,2,Contribution of labor composition,Indexes = 100.000
18_3_MP,18,3,Contribution of labor composition,% Change Year Ago
19_2_MP,19,2,Contribution of research and development (R&D) intensity,Indexes = 100.000
19_3_MP,19,3,Contribution of research and development (R&D) intensity,% Change Year Ago
20_2_MP,20,2,Contribution of intellectual property products excluding R&D intensity,Indexes = 100.000
20_3_MP,20,3,Contribution of intellectual property products excluding R&D intensity,% Change Year Ago
51_2_MP,51,2,Sectoral Output,Indexes = 100.000
51_3_MP,51,3,Sectoral Output,% Change Year Ago
55_2_MP,55,2,Energy,Indexes = 100.000
55_3_MP,55,3,Energy,% Change Year Ago
56_2_MP,56,2,Materials,Indexes = 100.000
56_3_MP,56,3,Materials,% Change Year Ago
57_2_MP,57,2,Purchased Business Services,Indexes = 100.000
57_3_MP,57,3,Purchased Business Services,% Change Year Ago
61_1_MP,61,1,"Value of Production, billions of current dollars",Levels
62_1_MP,62,1,"Capital Payments, billions of current dollars",Levels
63_1_MP,63,1,"Cost of Labor, billions of current dollars",Levels
64_1_MP,64,1,"Cost of Energy, billions of current dollars",Levels
65_1_MP,65,1,"Cost of Materials, billions of current dollars",Levels
66_1_MP,66,1,"Cost of Purchased Business Services, billions of current dollars",Levels
67_1_MP,67,1,Capital Factor Shares,Levels
68_1_MP,68,1,Labor Factor Shares,Levels
69_1_MP,69,1,Energy Factor Shares,Levels
70_1_MP,70,1,Materials Factor Shares,Levels
71_1_MP,71,1,Purchased Business Services Factor Shares,Levels
74_2_MP,74,2,Contribution of Energy Intensity,Indexes = 100.000
74_3_MP,74,3,Contribution of Energy Intensity,% Change Year Ago
76_2_MP,76,2,Contribution of Materials Intensity,Indexes = 100.000
76_3_MP,76,3,Contribution of Materials Intensity,% Change Year Ago
77_2_MP,77,2,Contribution of Purchased Business Services Intensity,Indexes = 100.000
77_3_MP,77,3,Contribution of Purchased Business Services Intensity,% Change Year Ago
78_2_MP,78,2,Contribution of Intermediate Inputs,Indexes = 100.000
78_3_MP,78,3,Contribution of Intermediate Inputs,% Change Year Ago
