series_id                     	year	period	value	footnote_codes
ORUC1000000J00001157          	2020	A01	51.2	7
ORUC1000000J00001160          	2020	A01	49.9	
ORUC1000000J00001161          	2020	A01	50.1	7
ORUC1000000J00001171          	2020	A01	50.0	7
ORUC1000000J00001172          	2020	A01	7.9	
ORUC1000000J00001173          	2020	A01	42.2	
ORUC1000000J00001176          	2020	A01	100.0	7
ORUC1000000J00001181          	2020	A01	72.9	7
ORUC1000000J00001182          	2020	A01	17.4	
ORUC1000000J00001187          	2020	A01	100.0	7
ORUC1000000J00001197          	2020	A01	77.3	7
ORUC1000000J00001198          	2020	A01	22.7	
ORUC1000000J00001205          	2020	A01	34.8	
ORUC1000000J00001206          	2020	A01	65.2	7
ORUC1000000K00001150          	2020	A01	97.9	7
ORUC1000000K00001154          	2020	A01	4.7	
ORUC1000000K00001155          	2020	A01	17.1	
ORUC1000000K00001156          	2020	A01	36.2	
ORUC1000000K00001157          	2020	A01	42.1	7
ORUC1000000K00001160          	2020	A01	39.6	
ORUC1000000K00001161          	2020	A01	60.4	7
ORUC1000000K00001165          	2020	A01	24.9	
ORUC1000000K00001166          	2020	A01	28.2	
ORUC1000000K00001167          	2020	A01	46.9	7
ORUC1000000K00001171          	2020	A01	41.1	
ORUC1000000K00001172          	2020	A01	4.6	
ORUC1000000K00001173          	2020	A01	54.3	7
ORUC1000000K00001180          	2020	A01	22.2	
ORUC1000000K00001181          	2020	A01	73.6	7
ORUC1000000K00001182          	2020	A01	4.2	
ORUC1000000K00001187          	2020	A01	100.0	7
ORUC1000000K00001190          	2020	A01	49.3	7
ORUC1000000K00001191          	2020	A01	24.6	
ORUC1000000K00001192          	2020	A01	20.2	
ORUC1000000K00001197          	2020	A01	57.3	7
ORUC1000000K00001198          	2020	A01	42.7	
ORUC1000000K00001202          	2020	A01	100.0	7
ORUC1000000K00001205          	2020	A01	7.2	
ORUC1000000K00001206          	2020	A01	92.8	7
ORUC1000000M00001150          	2020	A01	99.4	7
ORUC1000000M00001156          	2020	A01	21.4	
ORUC1000000M00001157          	2020	A01	59.8	7
ORUC1000000M00001160          	2020	A01	36.4	
ORUC1000000M00001161          	2020	A01	63.6	7
ORUC1000000M00001166          	2020	A01	57.4	7
ORUC1000000M00001167          	2020	A01	35.0	
ORUC1000000M00001173          	2020	A01	59.7	7
ORUC1000000M00001180          	2020	A01	26.9	
ORUC1000000M00001181          	2020	A01	55.4	7
ORUC1000000M00001197          	2020	A01	68.3	7
ORUC1000000M00001198          	2020	A01	31.7	
ORUC1000000M00001202          	2020	A01	100.0	7
ORUC1000000W00001157          	2020	A01	51.9	7
ORUC1000000W00001160          	2020	A01	49.7	
ORUC1000000W00001161          	2020	A01	50.3	7
ORUC1000000W00001173          	2020	A01	75.8	7
ORUC1000000W00001176          	2020	A01	100.0	7
ORUC1000000W00001180          	2020	A01	9.6	
ORUC1000000W00001181          	2020	A01	56.3	7
ORUC1000000W00001187          	2020	A01	100.0	7
ORUC1000000W00001190          	2020	A01	53.7	7
ORUC1000000W00001191          	2020	A01	37.8	
ORUC1000000W00001198          	2020	A01	51.3	7
ORUC1000000W00001202          	2020	A01	100.0	7
ORUC1000001J00001149          	2020	A01	7.7	
ORUC1000001J00001150          	2020	A01	92.3	7
ORUC1000001J00001156          	2020	A01	30.2	
ORUC1000001J00001157          	2020	A01	64.4	7
ORUC1000001J00001166          	2020	A01	64.2	7
ORUC1000001J00001167          	2020	A01	32.7	
ORUC1000001J00001171          	2020	A01	19.2	
ORUC1000001J00001181          	2020	A01	78.7	7
ORUC1000001J00001187          	2020	A01	100.0	7
ORUC1000001J00001190          	2020	A01	20.4	
ORUC1000001J00001191          	2020	A01	18.9	
ORUC1000001J00001192          	2020	A01	56.3	7
ORUC1000001J00001197          	2020	A01	87.6	7
ORUC1000001J00001198          	2020	A01	12.4	
ORUC1000001O00001149          	2020	A01	98.3	7
ORUC1000001O00001166          	2020	A01	73.2	7
ORUC1000001O00001171          	2020	A01	61.4	7
ORUC1000001O00001205          	2020	A01	59.6	7
ORUC1000001O00001206          	2020	A01	40.4	
ORUC1000001Q00001149          	2020	A01	84.4	7
ORUC1000001Q00001150          	2020	A01	15.6	
ORUC1000001Q00001160          	2020	A01	64.9	7
ORUC1000001Q00001161          	2020	A01	35.1	
ORUC1000001Q00001166          	2020	A01	52.9	7
ORUC1000001Q00001167          	2020	A01	43.9	
ORUC1000001Q00001171          	2020	A01	32.0	
ORUC1000001Q00001172          	2020	A01	10.5	
ORUC1000001Q00001173          	2020	A01	57.5	7
ORUC1000001Q00001197          	2020	A01	77.4	7
ORUC1000001Q00001198          	2020	A01	22.6	
ORUC1000001Q00001202          	2020	A01	100.0	7
ORUC1000001Q00001205          	2020	A01	24.0	
ORUC1000001Q00001206          	2020	A01	76.0	7
ORUC1000001V00001149          	2020	A01	81.8	7
ORUC1000001V00001187          	2020	A01	100.0	7
ORUC1000001V00001197          	2020	A01	69.8	7
ORUC1000001V00001198          	2020	A01	30.2	
ORUC1000001V00001202          	2020	A01	100.0	7
ORUC1000002E00001149          	2020	A01	63.8	7
ORUC1000002E00001150          	2020	A01	36.2	
ORUC1000002E00001156          	2020	A01	42.8	
ORUC1000002E00001157          	2020	A01	52.2	7
ORUC1000002E00001160          	2020	A01	51.1	7
ORUC1000002E00001161          	2020	A01	48.9	
ORUC1000002E00001166          	2020	A01	46.9	
ORUC1000002E00001167          	2020	A01	51.3	7
ORUC1000002E00001173          	2020	A01	42.4	7
ORUC1000002E00001176          	2020	A01	100.0	7
ORUC1000002E00001181          	2020	A01	54.8	7
ORUC1000002E00001182          	2020	A01	36.4	
ORUC1000002E00001190          	2020	A01	45.4	7
ORUC1000002E00001191          	2020	A01	27.9	
ORUC1000002E00001192          	2020	A01	15.2	
ORUC1000002E00001197          	2020	A01	78.2	7
ORUC1000002E00001198          	2020	A01	21.8	
ORUC1000002E00001205          	2020	A01	41.6	
ORUC1000002E00001206          	2020	A01	58.4	7
ORUC1000002F00001149          	2020	A01	83.8	7
ORUC1000002F00001150          	2020	A01	16.2	
ORUC1000002F00001154          	2020	A01	8.7	
ORUC1000002F00001155          	2020	A01	13.7	
ORUC1000002F00001156          	2020	A01	39.6	7
ORUC1000002F00001157          	2020	A01	37.9	
ORUC1000002F00001160          	2020	A01	73.7	7
ORUC1000002F00001161          	2020	A01	26.3	
ORUC1000002F00001165          	2020	A01	7.1	
ORUC1000002F00001171          	2020	A01	22.3	
ORUC1000002F00001172          	2020	A01	12.2	
ORUC1000002F00001173          	2020	A01	65.5	7
ORUC1000002F00001181          	2020	A01	58.7	7
ORUC1000002F00001182          	2020	A01	39.3	
ORUC1000002F00001186          	2020	A01	3.0	
ORUC1000002F00001187          	2020	A01	97.0	7
ORUC1000002F00001190          	2020	A01	28.6	
ORUC1000002F00001191          	2020	A01	20.4	
ORUC1000002F00001192          	2020	A01	35.6	7
ORUC1000002F00001193          	2020	A01	7.7	
ORUC1000002F00001194          	2020	A01	7.6	
ORUC1000002F00001197          	2020	A01	75.2	7
ORUC1000002F00001198          	2020	A01	24.8	
ORUC1000002F00001205          	2020	A01	48.2	
ORUC1000002F00001206          	2020	A01	51.8	7
ORUC1000002O00001150          	2020	A01	99.8	7
ORUC1000002O00001154          	2020	A01	4.1	
ORUC1000002O00001155          	2020	A01	10.5	
ORUC1000002O00001156          	2020	A01	22.0	
ORUC1000002O00001157          	2020	A01	63.4	7
ORUC1000002O00001160          	2020	A01	26.5	
ORUC1000002O00001161          	2020	A01	73.5	7
ORUC1000002O00001165          	2020	A01	2.7	
ORUC1000002O00001166          	2020	A01	41.4	
ORUC1000002O00001167          	2020	A01	55.3	7
ORUC1000002O00001171          	2020	A01	37.2	
ORUC1000002O00001172          	2020	A01	11.1	
ORUC1000002O00001173          	2020	A01	51.7	7
ORUC1000002O00001176          	2020	A01	97.5	7
ORUC1000002O00001177          	2020	A01	2.5	
ORUC1000002O00001180          	2020	A01	25.6	
ORUC1000002O00001181          	2020	A01	68.8	7
ORUC1000002O00001182          	2020	A01	5.5	
ORUC1000002O00001187          	2020	A01	100.0	7
ORUC1000002O00001190          	2020	A01	50.6	7
ORUC1000002O00001191          	2020	A01	15.2	
ORUC1000002O00001192          	2020	A01	28.5	
ORUC1000002O00001197          	2020	A01	86.9	7
ORUC1000002O00001198          	2020	A01	13.1	
ORUC1000002O00001201          	2020	A01	2.6	
ORUC1000002O00001202          	2020	A01	97.4	7
ORUC1000002O00001205          	2020	A01	28.5	
ORUC1000002O00001206          	2020	A01	71.5	7
ORUC1000002Q00001156          	2020	A01	29.7	
ORUC1000002Q00001157          	2020	A01	67.8	7
ORUC1000002Q00001160          	2020	A01	40.5	
ORUC1000002Q00001161          	2020	A01	59.5	7
ORUC1000002Q00001166          	2020	A01	29.7	
ORUC1000002Q00001167          	2020	A01	62.8	7
ORUC1000002Q00001173          	2020	A01	53.8	7
ORUC1000002Q00001176          	2020	A01	100.0	7
ORUC1000002Q00001180          	2020	A01	19.6	
ORUC1000002Q00001181          	2020	A01	75.7	7
ORUC1000002Q00001187          	2020	A01	100.0	7
ORUC1000002Q00001190          	2020	A01	25.0	
ORUC1000002Q00001191          	2020	A01	58.7	7
ORUC1000002Q00001192          	2020	A01	14.5	
ORUC1000002Q00001197          	2020	A01	95.6	7
ORUC1000002Q00001198          	2020	A01	4.4	
ORUC1000002Q00001205          	2020	A01	60.2	7
ORUC1000002Q00001206          	2020	A01	39.8	
ORUC1000002R00001149          	2020	A01	56.0	7
ORUC1000002S00001150          	2020	A01	98.0	7
ORUC1000002S00001160          	2020	A01	35.4	
ORUC1000002S00001161          	2020	A01	64.6	7
ORUC1000002S00001165          	2020	A01	6.0	
ORUC1000002S00001166          	2020	A01	31.5	
ORUC1000002S00001167          	2020	A01	62.5	7
ORUC1000002S00001171          	2020	A01	38.0	
ORUC1000002S00001172          	2020	A01	11.8	
ORUC1000002S00001173          	2020	A01	50.2	7
ORUC1000002S00001180          	2020	A01	42.8	
ORUC1000002S00001181          	2020	A01	49.8	7
ORUC1000002S00001182          	2020	A01	7.4	
ORUC1000002S00001187          	2020	A01	100.0	7
ORUC1000002S00001205          	2020	A01	50.6	7
ORUC1000002S00001206          	2020	A01	49.4	
ORUC1000002U00001157          	2020	A01	77.9	7
ORUC1000002U00001187          	2020	A01	100.0	7
ORUC1000002W00001150          	2020	A01	93.5	7
ORUC1000002W00001156          	2020	A01	42.8	
ORUC1000002W00001157          	2020	A01	43.5	7
ORUC1000002W00001160          	2020	A01	51.2	7
ORUC1000002W00001161          	2020	A01	48.8	
ORUC1000002W00001166          	2020	A01	20.6	
ORUC1000002W00001167          	2020	A01	77.7	7
ORUC1000002W00001173          	2020	A01	67.6	7
ORUC1000002W00001180          	2020	A01	15.4	
ORUC1000002W00001181          	2020	A01	80.6	7
ORUC1000002W00001187          	2020	A01	100.0	7
ORUC1000002W00001190          	2020	A01	29.0	
ORUC1000002W00001191          	2020	A01	46.5	7
ORUC1000002W00001192          	2020	A01	20.2	
ORUC1000002W00001197          	2020	A01	90.0	7
ORUC1000002W00001198          	2020	A01	10.0	
ORUC1000002W00001205          	2020	A01	18.3	
ORUC1000002W00001206          	2020	A01	81.7	7
ORUC1000002X00001173          	2020	A01	80.5	7
ORUC1000002X00001176          	2020	A01	100.0	7
ORUC1000002X00001181          	2020	A01	68.5	7
ORUC1000002X00001187          	2020	A01	100.0	7
ORUC1000002X00001190          	2020	A01	31.3	7
ORUC1000002Y00001150          	2020	A01	97.4	7
ORUC1000002Y00001160          	2020	A01	45.0	
ORUC1000002Y00001161          	2020	A01	55.0	7
ORUC1000002Y00001166          	2020	A01	24.0	
ORUC1000002Y00001167          	2020	A01	74.0	7
ORUC1000002Y00001171          	2020	A01	41.5	
ORUC1000002Y00001172          	2020	A01	3.6	
ORUC1000002Y00001173          	2020	A01	54.9	7
ORUC1000002Y00001181          	2020	A01	74.0	7
ORUC1000002Y00001182          	2020	A01	20.8	
ORUC1000002Y00001187          	2020	A01	100.0	7
ORUC1000002Y00001190          	2020	A01	62.9	7
ORUC1000002Y00001191          	2020	A01	13.2	
ORUC1000002Y00001192          	2020	A01	7.8	
ORUC1000002Y00001197          	2020	A01	67.5	7
ORUC1000002Y00001198          	2020	A01	32.5	
ORUC1000002Y00001202          	2020	A01	100.0	7
ORUC1000002Y00001205          	2020	A01	49.8	
ORUC1000002Y00001206          	2020	A01	50.2	7
ORUC1000002Z00001150          	2020	A01	74.2	7
ORUC1000002Z00001156          	2020	A01	29.2	
ORUC1000002Z00001157          	2020	A01	68.0	7
ORUC1000002Z00001160          	2020	A01	45.7	
ORUC1000002Z00001161          	2020	A01	54.3	7
ORUC1000002Z00001166          	2020	A01	52.2	7
ORUC1000002Z00001167          	2020	A01	45.2	
ORUC1000002Z00001173          	2020	A01	70.1	7
ORUC1000002Z00001181          	2020	A01	75.1	7
ORUC1000002Z00001187          	2020	A01	100.0	7
ORUC1000002Z00001190          	2020	A01	54.0	7
ORUC1000002Z00001191          	2020	A01	30.1	
ORUC1000002Z00001192          	2020	A01	10.5	
ORUC1000002Z00001202          	2020	A01	100.0	7
ORUC1000002Z00001205          	2020	A01	36.7	
ORUC1000002Z00001206          	2020	A01	63.3	7
ORUC1000003C00001150          	2020	A01	88.0	7
ORUC1000003C00001160          	2020	A01	48.5	
ORUC1000003C00001161          	2020	A01	51.5	7
ORUC1000003C00001166          	2020	A01	26.9	
ORUC1000003C00001167          	2020	A01	72.3	7
ORUC1000003C00001171          	2020	A01	53.3	7
ORUC1000003C00001173          	2020	A01	43.6	
ORUC1000003C00001180          	2020	A01	15.5	
ORUC1000003C00001181          	2020	A01	74.8	7
ORUC1000003C00001187          	2020	A01	100.0	7
ORUC1000003C00001197          	2020	A01	76.3	7
ORUC1000003C00001198          	2020	A01	23.7	
ORUC1000003C00001205          	2020	A01	48.2	
ORUC1000003C00001206          	2020	A01	51.8	7
ORUC1000003E00001149          	2020	A01	5.2	
ORUC1000003E00001150          	2020	A01	94.8	7
ORUC1000003E00001156          	2020	A01	20.7	
ORUC1000003E00001157          	2020	A01	74.0	7
ORUC1000003E00001160          	2020	A01	56.0	7
ORUC1000003E00001161          	2020	A01	44.0	
ORUC1000003E00001166          	2020	A01	43.5	
ORUC1000003E00001167          	2020	A01	56.5	7
ORUC1000003E00001171          	2020	A01	29.6	
ORUC1000003E00001172          	2020	A01	13.0	
ORUC1000003E00001173          	2020	A01	57.4	7
ORUC1000003E00001180          	2020	A01	22.6	
ORUC1000003E00001181          	2020	A01	68.3	7
ORUC1000003E00001182          	2020	A01	9.1	
ORUC1000003E00001187          	2020	A01	100.0	7
ORUC1000003E00001190          	2020	A01	47.2	7
ORUC1000003E00001191          	2020	A01	25.7	
ORUC1000003E00001192          	2020	A01	21.5	
ORUC1000003E00001197          	2020	A01	88.7	7
ORUC1000003E00001198          	2020	A01	11.3	
ORUC1000003E00001205          	2020	A01	37.7	
ORUC1000003E00001206          	2020	A01	62.3	7
ORUC1000003F00001150          	2020	A01	91.8	7
ORUC1000003F00001160          	2020	A01	61.8	7
ORUC1000003F00001161          	2020	A01	38.2	
ORUC1000003F00001166          	2020	A01	35.1	
ORUC1000003F00001167          	2020	A01	64.9	7
ORUC1000003F00001173          	2020	A01	58.0	7
ORUC1000003F00001181          	2020	A01	70.8	7
ORUC1000003F00001187          	2020	A01	100.0	7
ORUC1000003F00001202          	2020	A01	100.0	7
ORUC1000003H00001150          	2020	A01	95.7	7
ORUC1000003H00001155          	2020	A01	26.2	
ORUC1000003H00001156          	2020	A01	51.7	7
ORUC1000003H00001166          	2020	A01	41.4	
ORUC1000003H00001167          	2020	A01	57.1	7
ORUC1000003H00001173          	2020	A01	79.1	7
ORUC1000003H00001181          	2020	A01	83.5	7
ORUC1000003H00001187          	2020	A01	100.0	7
ORUC1000003H00001190          	2020	A01	33.9	
ORUC1000003H00001191          	2020	A01	21.9	
ORUC1000003H00001202          	2020	A01	100.0	7
ORUC1000003J00001150          	2020	A01	98.9	7
ORUC1000003J00001156          	2020	A01	26.1	
ORUC1000003J00001157          	2020	A01	70.0	7
ORUC1000003J00001160          	2020	A01	28.5	
ORUC1000003J00001161          	2020	A01	71.5	7
ORUC1000003J00001166          	2020	A01	46.5	
ORUC1000003J00001167          	2020	A01	52.0	7
ORUC1000003J00001171          	2020	A01	50.0	7
ORUC1000003J00001180          	2020	A01	43.6	
ORUC1000003J00001181          	2020	A01	53.6	7
ORUC1000003J00001187          	2020	A01	100.0	7
ORUC1000003J00001190          	2020	A01	58.0	7
ORUC1000003J00001191          	2020	A01	23.3	
ORUC1000003J00001192          	2020	A01	16.1	
ORUC1000003J00001197          	2020	A01	100.0	7
ORUC1000003J00001201          	2020	A01	12.8	
ORUC1000003J00001202          	2020	A01	87.2	7
ORUC1000003L00001150          	2020	A01	91.8	7
ORUC1000003L00001157          	2020	A01	79.8	7
ORUC1000003L00001160          	2020	A01	26.2	
ORUC1000003L00001161          	2020	A01	73.8	7
ORUC1000003L00001166          	2020	A01	47.0	
ORUC1000003L00001167          	2020	A01	51.7	7
ORUC1000003L00001173          	2020	A01	61.4	7
ORUC1000003L00001181          	2020	A01	68.3	7
ORUC1000003L00001187          	2020	A01	100.0	7
ORUC1000003L00001197          	2020	A01	100.0	7
ORUC1000003L00001205          	2020	A01	35.9	
ORUC1000003L00001206          	2020	A01	64.1	7
ORUC1000003M00001150          	2020	A01	98.5	7
ORUC1000003M00001156          	2020	A01	29.4	
ORUC1000003M00001157          	2020	A01	44.3	7
ORUC1000003M00001160          	2020	A01	18.1	
ORUC1000003M00001161          	2020	A01	81.9	7
ORUC1000003M00001166          	2020	A01	74.0	7
ORUC1000003M00001167          	2020	A01	23.9	
ORUC1000003M00001173          	2020	A01	67.4	7
ORUC1000003M00001176          	2020	A01	80.8	7
ORUC1000003M00001177          	2020	A01	19.2	
ORUC1000003M00001180          	2020	A01	37.7	
ORUC1000003M00001181          	2020	A01	59.4	7
ORUC1000003M00001190          	2020	A01	26.8	
ORUC1000003M00001191          	2020	A01	17.7	
ORUC1000003M00001192          	2020	A01	35.8	7
ORUC1000003M00001201          	2020	A01	10.4	
ORUC1000003M00001202          	2020	A01	89.6	7
ORUC1000003N00001150          	2020	A01	100.0	7
ORUC1000003N00001157          	2020	A01	34.9	7
ORUC1000003N00001166          	2020	A01	62.6	7
ORUC1000003N00001171          	2020	A01	36.4	
ORUC1000003N00001181          	2020	A01	52.5	7
ORUC1000003N00001187          	2020	A01	100.0	7
ORUC1000003N00001190          	2020	A01	40.1	7
ORUC1000003N00001197          	2020	A01	100.0	7
ORUC1000003R00001150          	2020	A01	99.2	7
ORUC1000003R00001156          	2020	A01	23.3	
ORUC1000003R00001157          	2020	A01	60.1	7
ORUC1000003R00001160          	2020	A01	30.8	
ORUC1000003R00001161          	2020	A01	69.2	7
ORUC1000003R00001166          	2020	A01	42.1	
ORUC1000003R00001167          	2020	A01	56.8	7
ORUC1000003R00001171          	2020	A01	34.9	
ORUC1000003R00001172          	2020	A01	6.5	
ORUC1000003R00001173          	2020	A01	58.6	7
ORUC1000003R00001176          	2020	A01	91.2	7
ORUC1000003R00001177          	2020	A01	8.8	
ORUC1000003R00001180          	2020	A01	20.4	
ORUC1000003R00001181          	2020	A01	67.8	7
ORUC1000003R00001187          	2020	A01	100.0	7
ORUC1000003R00001190          	2020	A01	63.8	7
ORUC1000003R00001191          	2020	A01	22.2	
ORUC1000003R00001192          	2020	A01	9.6	
ORUC1000003R00001197          	2020	A01	93.3	7
ORUC1000003R00001198          	2020	A01	6.7	
ORUC1000003R00001205          	2020	A01	25.7	
ORUC1000003R00001206          	2020	A01	74.3	7
ORUC1000003T00001150          	2020	A01	67.8	7
ORUC1000003T00001166          	2020	A01	87.3	7
ORUC1000003T00001173          	2020	A01	81.0	7
ORUC1000003T00001176          	2020	A01	100.0	7
ORUC1000003T00001181          	2020	A01	61.4	7
ORUC1000003T00001187          	2020	A01	100.0	7
ORUC1000003T00001202          	2020	A01	100.0	7
ORUC1000003U00001150          	2020	A01	92.9	7
ORUC1000003U00001156          	2020	A01	37.8	
ORUC1000003U00001157          	2020	A01	61.5	7
ORUC1000003U00001160          	2020	A01	33.7	
ORUC1000003U00001161          	2020	A01	66.3	7
ORUC1000003U00001166          	2020	A01	46.6	
ORUC1000003U00001167          	2020	A01	52.0	7
ORUC1000003U00001173          	2020	A01	73.3	7
ORUC1000003U00001180          	2020	A01	24.6	
ORUC1000003U00001181          	2020	A01	67.3	7
ORUC1000003U00001187          	2020	A01	100.0	7
ORUC1000003U00001190          	2020	A01	35.7	7
ORUC1000003U00001191          	2020	A01	33.9	
ORUC1000003U00001205          	2020	A01	41.0	
ORUC1000003U00001206          	2020	A01	59.0	7
ORUC1000003V00001149          	2020	A01	72.5	7
ORUC1000003V00001150          	2020	A01	27.5	
ORUC1000003V00001156          	2020	A01	26.0	
ORUC1000003V00001157          	2020	A01	39.2	7
ORUC1000003V00001160          	2020	A01	54.9	7
ORUC1000003V00001161          	2020	A01	45.1	
ORUC1000003V00001173          	2020	A01	68.8	7
ORUC1000003V00001181          	2020	A01	49.4	7
ORUC1000003V00001182          	2020	A01	46.8	
ORUC1000003V00001187          	2020	A01	100.0	7
ORUC1000003V00001190          	2020	A01	47.9	7
ORUC1000003V00001192          	2020	A01	34.5	
ORUC1000003V00001197          	2020	A01	72.4	7
ORUC1000003V00001198          	2020	A01	27.6	
ORUC1000003V00001202          	2020	A01	100.0	7
ORUC1000003W00001150          	2020	A01	91.9	7
ORUC1000003W00001167          	2020	A01	89.5	7
ORUC1000003W00001181          	2020	A01	74.1	7
ORUC1000003W00001187          	2020	A01	100.0	7
ORUC1000004C00001149          	2020	A01	93.8	7
ORUC1000004C00001167          	2020	A01	45.8	7
ORUC1000004C00001173          	2020	A01	83.4	7
ORUC1000004C00001181          	2020	A01	63.7	7
ORUC1000004C00001187          	2020	A01	100.0	7
ORUC1000004D00001149          	2020	A01	93.3	7
ORUC1000004D00001150          	2020	A01	6.7	
ORUC1000004D00001156          	2020	A01	38.8	7
ORUC1000004D00001157          	2020	A01	32.8	
ORUC1000004D00001160          	2020	A01	83.2	7
ORUC1000004D00001161          	2020	A01	16.8	
ORUC1000004D00001166          	2020	A01	40.0	
ORUC1000004D00001167          	2020	A01	45.2	7
ORUC1000004D00001171          	2020	A01	38.8	
ORUC1000004D00001172          	2020	A01	12.9	
ORUC1000004D00001173          	2020	A01	48.2	7
ORUC1000004D00001176          	2020	A01	100.0	7
ORUC1000004D00001181          	2020	A01	60.2	7
ORUC1000004D00001182          	2020	A01	22.1	
ORUC1000004D00001190          	2020	A01	54.0	7
ORUC1000004D00001191          	2020	A01	18.6	
ORUC1000004D00001192          	2020	A01	26.2	
ORUC1000004D00001197          	2020	A01	55.4	7
ORUC1000004D00001198          	2020	A01	44.6	
ORUC1000004D00001202          	2020	A01	100.0	7
ORUC1000004D00001205          	2020	A01	8.1	
ORUC1000004D00001206          	2020	A01	91.9	7
ORUC1000004G00001149          	2020	A01	92.0	7
ORUC1000004G00001156          	2020	A01	53.8	7
ORUC1000004G00001157          	2020	A01	34.4	
ORUC1000004G00001160          	2020	A01	75.7	7
ORUC1000004G00001161          	2020	A01	24.3	
ORUC1000004G00001166          	2020	A01	25.0	
ORUC1000004G00001167          	2020	A01	68.3	7
ORUC1000004G00001171          	2020	A01	23.8	
ORUC1000004G00001172          	2020	A01	37.6	
ORUC1000004G00001173          	2020	A01	38.6	7
ORUC1000004G00001181          	2020	A01	43.2	
ORUC1000004G00001182          	2020	A01	55.4	7
ORUC1000004G00001190          	2020	A01	38.9	7
ORUC1000004G00001191          	2020	A01	23.5	
ORUC1000004G00001192          	2020	A01	8.2	
ORUC1000004G00001197          	2020	A01	64.1	7
ORUC1000004G00001198          	2020	A01	35.9	
ORUC1000004G00001202          	2020	A01	100.0	7
ORUC1000004G00001205          	2020	A01	12.5	
ORUC1000004G00001206          	2020	A01	87.5	7
ORUC1000004J00001149          	2020	A01	94.1	7
ORUC1000004J00001181          	2020	A01	96.3	7
ORUC1000004J00001187          	2020	A01	100.0	7
ORUC1000004J00001202          	2020	A01	100.0	7
ORUC1000004N00001149          	2020	A01	82.9	7
ORUC1000004N00001150          	2020	A01	17.1	
ORUC1000004N00001160          	2020	A01	78.2	7
ORUC1000004N00001161          	2020	A01	21.8	
ORUC1000004N00001166          	2020	A01	50.0	7
ORUC1000004N00001167          	2020	A01	41.6	
ORUC1000004N00001171          	2020	A01	29.6	
ORUC1000004N00001172          	2020	A01	15.6	
ORUC1000004N00001173          	2020	A01	54.7	7
ORUC1000004N00001197          	2020	A01	89.7	7
ORUC1000004N00001198          	2020	A01	10.3	
ORUC1000004N00001205          	2020	A01	20.0	
ORUC1000004N00001206          	2020	A01	80.0	7
ORUC1000004P00001149          	2020	A01	96.4	7
ORUC1000004P00001156          	2020	A01	47.4	7
ORUC1000004P00001157          	2020	A01	27.6	
ORUC1000004P00001160          	2020	A01	51.7	7
ORUC1000004P00001161          	2020	A01	48.3	
ORUC1000004P00001166          	2020	A01	62.5	7
ORUC1000004P00001167          	2020	A01	31.0	
ORUC1000004P00001171          	2020	A01	16.0	
