series_id                     	year	period	value	footnote_codes
ORUC1000000000001149          	2020	A01	84.5	7
ORUC1000000000001150          	2020	A01	15.5	
ORUC1000000000001154          	2020	A01	35.2	7
ORUC1000000000001155          	2020	A01	23.5	
ORUC1000000000001156          	2020	A01	20.9	
ORUC1000000000001157          	2020	A01	20.4	
ORUC1000000000001160          	2020	A01	65.4	7
ORUC1000000000001161          	2020	A01	34.6	
ORUC1000000000001164          	2020	A01	2.8	
ORUC1000000000001165          	2020	A01	6.6	
ORUC1000000000001166          	2020	A01	74.8	7
ORUC1000000000001167          	2020	A01	14.9	
ORUC1000000000001168          	2020	A01	1.0	
ORUC1000000000001171          	2020	A01	32.8	
ORUC1000000000001172          	2020	A01	9.6	
ORUC1000000000001173          	2020	A01	57.5	7
ORUC1000000000001176          	2020	A01	54.2	7
ORUC1000000000001177          	2020	A01	45.8	
ORUC1000000000001180          	2020	A01	28.8	
ORUC1000000000001181          	2020	A01	50.0	7
ORUC1000000000001182          	2020	A01	17.6	
ORUC1000000000001183          	2020	A01	3.6	
ORUC1000000000001186          	2020	A01	38.7	
ORUC1000000000001187          	2020	A01	61.3	7
ORUC1000000000001190          	2020	A01	16.0	
ORUC1000000000001191          	2020	A01	9.0	
ORUC1000000000001192          	2020	A01	12.0	
ORUC1000000000001193          	2020	A01	4.9	
ORUC1000000000001194          	2020	A01	58.1	7
ORUC1000000000001197          	2020	A01	77.3	7
ORUC1000000000001198          	2020	A01	22.7	
ORUC1000000000001201          	2020	A01	4.1	
ORUC1000000000001202          	2020	A01	95.9	7
ORUC1000000000001205          	2020	A01	9.0	
ORUC1000000000001206          	2020	A01	91.0	7
ORUC1000000A00001150          	2020	A01	100.0	7
ORUC1000000A00001156          	2020	A01	10.4	
ORUC1000000A00001157          	2020	A01	81.0	7
ORUC1000000A00001160          	2020	A01	22.6	
ORUC1000000A00001161          	2020	A01	77.4	7
ORUC1000000A00001166          	2020	A01	21.4	
ORUC1000000A00001167          	2020	A01	78.6	7
ORUC1000000A00001171          	2020	A01	51.3	7
ORUC1000000A00001176          	2020	A01	100.0	7
ORUC1000000A00001180          	2020	A01	23.1	
ORUC1000000A00001181          	2020	A01	61.6	7
ORUC1000000A00001187          	2020	A01	100.0	7
ORUC1000000A00001190          	2020	A01	64.2	7
ORUC1000000A00001191          	2020	A01	16.8	
ORUC1000000A00001205          	2020	A01	43.0	
ORUC1000000A00001206          	2020	A01	57.0	7
ORUC1000000J00001149          	2020	A01	11.9	
ORUC1000000J00001150          	2020	A01	88.1	7
ORUC1000000J00001156          	2020	A01	36.4	
